fileno,name,age,gender,filename,type,train_younger,test_younger,difference
99,PaulAnka,46,m.jpg,99_PaulAnka_46_m.jpg,accuracy,0,0,0
102,PaulAnka,60,m.jpg,102_PaulAnka_60_m.jpg,accuracy,1,1,1
85,PaulAnka,65,m.jpg,85_PaulAnka_65_m.jpg,accuracy,1,1,1
88,PaulAnka,67,m.jpg,88_PaulAnka_67_m.jpg,accuracy,1,1,1
90,PaulAnka,70,m.jpg,90_PaulAnka_70_m.jpg,accuracy,1,0,0
10638,LuiseRainer,26,f.jpg,10638_LuiseRainer_26_f.jpg,accuracy,0,1,0
10645,LuiseRainer,27,f.jpg,10645_LuiseRainer_27_f.jpg,accuracy,1,1,1
10666,LuiseRainer,28,f.jpg,10666_LuiseRainer_28_f.jpg,accuracy,1,1,1
10674,LuiseRainer,27,f.jpg,10674_LuiseRainer_27_f.jpg,accuracy,1,1,1
10686,LuiseRainer,46,f.jpg,10686_LuiseRainer_46_f.jpg,accuracy,1,1,1
10671,LuiseRainer,74,f.jpg,10671_LuiseRainer_74_f.jpg,accuracy,0,0,0
10752,OrnellaMuti,15,f.jpg,10752_OrnellaMuti_15_f.jpg,accuracy,1,1,1
10757,OrnellaMuti,21,f.jpg,10757_OrnellaMuti_21_f.jpg,accuracy,0,0,0
10762,OrnellaMuti,26,f.jpg,10762_OrnellaMuti_26_f.jpg,accuracy,1,1,1
10785,OrnellaMuti,51,f.jpg,10785_OrnellaMuti_51_f.jpg,accuracy,1,1,1
10789,OrnellaMuti,55,f.jpg,10789_OrnellaMuti_55_f.jpg,accuracy,1,1,1
10791,OrnellaMuti,57,f.jpg,10791_OrnellaMuti_57_f.jpg,accuracy,1,1,1
11665,MireilleDarc,34,f.jpg,11665_MireilleDarc_34_f.jpg,accuracy,1,1,1
11669,MireilleDarc,38,f.jpg,11669_MireilleDarc_38_f.jpg,accuracy,0,1,0
11678,MireilleDarc,51,f.jpg,11678_MireilleDarc_51_f.jpg,accuracy,1,1,1
11679,MireilleDarc,54,f.jpg,11679_MireilleDarc_54_f.jpg,accuracy,1,1,1
11683,MireilleDarc,58,f.jpg,11683_MireilleDarc_58_f.jpg,accuracy,1,1,1
11847,BarbaraBouchet,25,f.jpg,11847_BarbaraBouchet_25_f.jpg,accuracy,0,0,0
11870,BarbaraBouchet,61,f.jpg,11870_BarbaraBouchet_61_f.jpg,accuracy,1,1,1
11876,BarbaraBouchet,68,f.jpg,11876_BarbaraBouchet_68_f.jpg,accuracy,1,1,1
11948,AngelaLansbury,20,f.jpg,11948_AngelaLansbury_20_f.jpg,accuracy,1,1,1
11959,AngelaLansbury,35,f.jpg,11959_AngelaLansbury_35_f.jpg,accuracy,1,1,1
11962,AngelaLansbury,41,f.jpg,11962_AngelaLansbury_41_f.jpg,accuracy,1,0,0
11964,AngelaLansbury,46,f.jpg,11964_AngelaLansbury_46_f.jpg,accuracy,1,1,1
11971,AngelaLansbury,60,f.jpg,11971_AngelaLansbury_60_f.jpg,accuracy,1,1,1
11977,AngelaLansbury,67,f.jpg,11977_AngelaLansbury_67_f.jpg,accuracy,1,1,1
11984,AngelaLansbury,80,f.jpg,11984_AngelaLansbury_80_f.jpg,accuracy,1,0,0
11989,AngelaLansbury,87,f.jpg,11989_AngelaLansbury_87_f.jpg,accuracy,1,1,1
12024,DebbieReynolds,24,f.jpg,12024_DebbieReynolds_24_f.jpg,accuracy,1,0,0
12045,DebbieReynolds,69,f.jpg,12045_DebbieReynolds_69_f.jpg,accuracy,1,1,1
12055,DebbieReynolds,78,f.jpg,12055_DebbieReynolds_78_f.jpg,accuracy,1,1,1
12092,EvaMarieSaint,30,f.jpg,12092_EvaMarieSaint_30_f.jpg,accuracy,1,1,1
12103,EvaMarieSaint,44,f.jpg,12103_EvaMarieSaint_44_f.jpg,accuracy,1,1,1
12115,EvaMarieSaint,73,f.jpg,12115_EvaMarieSaint_73_f.jpg,accuracy,1,1,1
12121,EvaMarieSaint,82,f.jpg,12121_EvaMarieSaint_82_f.jpg,accuracy,1,1,1
121,MickJagger,18,m.jpg,121_MickJagger_18_m.jpg,accuracy,1,1,1
2785,MickJagger,47,m.jpg,2785_MickJagger_47_m.jpg,accuracy,1,1,1
2792,MickJagger,63,m.jpg,2792_MickJagger_63_m.jpg,accuracy,1,1,1
2793,MickJagger,64,m.jpg,2793_MickJagger_64_m.jpg,accuracy,1,1,1
2794,MickJagger,66,m.jpg,2794_MickJagger_66_m.jpg,accuracy,1,1,1
12337,MyrnaLoy,20,f.jpg,12337_MyrnaLoy_20_f.jpg,accuracy,1,1,1
12376,MyrnaLoy,33,f.jpg,12376_MyrnaLoy_33_f.jpg,accuracy,1,1,1
12329,MyrnaLoy,51,f.jpg,12329_MyrnaLoy_51_f.jpg,accuracy,1,1,1
12330,MyrnaLoy,75,f.jpg,12330_MyrnaLoy_75_f.jpg,accuracy,1,1,1
12364,MyrnaLoy,67,f.jpg,12364_MyrnaLoy_67_f.jpg,accuracy,1,1,1
12425,AngieDickinson,47,f.jpg,12425_AngieDickinson_47_f.jpg,accuracy,1,1,1
12438,AngieDickinson,31,f.jpg,12438_AngieDickinson_31_f.jpg,accuracy,0,1,0
12445,AngieDickinson,42,f.jpg,12445_AngieDickinson_42_f.jpg,accuracy,1,1,1
12457,AngieDickinson,76,f.jpg,12457_AngieDickinson_76_f.jpg,accuracy,1,1,1
12607,FrancesDee,43,f.jpg,12607_FrancesDee_43_f.jpg,accuracy,1,1,1
12612,FrancesDee,83,f.jpg,12612_FrancesDee_83_f.jpg,accuracy,1,1,1
12613,FrancesDee,89,f.jpg,12613_FrancesDee_89_f.jpg,accuracy,1,0,0
13032,GeraldineChaplin,38,f.jpg,13032_GeraldineChaplin_38_f.jpg,accuracy,0,0,0
13041,GeraldineChaplin,52,f.jpg,13041_GeraldineChaplin_52_f.jpg,accuracy,1,1,1
13042,GeraldineChaplin,53,f.jpg,13042_GeraldineChaplin_53_f.jpg,accuracy,1,0,0
13052,GeraldineChaplin,66,f.jpg,13052_GeraldineChaplin_66_f.jpg,accuracy,1,1,1
13417,DanielleDarrieux,36,f.jpg,13417_DanielleDarrieux_36_f.jpg,accuracy,1,1,1
13419,DanielleDarrieux,38,f.jpg,13419_DanielleDarrieux_38_f.jpg,accuracy,1,1,1
13420,DanielleDarrieux,40,f.jpg,13420_DanielleDarrieux_40_f.jpg,accuracy,1,1,1
13436,DanielleDarrieux,64,f.jpg,13436_DanielleDarrieux_64_f.jpg,accuracy,1,1,1
13437,DanielleDarrieux,65,f.jpg,13437_DanielleDarrieux_65_f.jpg,accuracy,1,1,1
13522,HelenHayes,31,f.jpg,13522_HelenHayes_31_f.jpg,accuracy,1,0,0
13533,HelenHayes,23,f.jpg,13533_HelenHayes_23_f.jpg,accuracy,1,1,1
13537,HelenHayes,34,f.jpg,13537_HelenHayes_34_f.jpg,accuracy,1,1,1
13526,HelenHayes,52,f.jpg,13526_HelenHayes_52_f.jpg,accuracy,1,0,0
13539,HelenHayes,85,f.jpg,13539_HelenHayes_85_f.jpg,accuracy,1,1,1
13550,HelenHayes,78,f.jpg,13550_HelenHayes_78_f.jpg,accuracy,1,0,0
13554,HelenHayes,70,f.jpg,13554_HelenHayes_70_f.jpg,accuracy,1,1,1
14530,AudreyHepburn,24,f.jpg,14530_AudreyHepburn_24_f.jpg,accuracy,1,1,1
14531,AudreyHepburn,24,f.jpg,14531_AudreyHepburn_24_f.jpg,accuracy,1,1,1
14534,AudreyHepburn,25,f.jpg,14534_AudreyHepburn_25_f.jpg,accuracy,1,1,1
14537,AudreyHepburn,32,f.jpg,14537_AudreyHepburn_32_f.jpg,accuracy,1,1,1
14551,AudreyHepburn,36,f.jpg,14551_AudreyHepburn_36_f.jpg,accuracy,1,1,1
14520,AudreyHepburn,62,f.jpg,14520_AudreyHepburn_62_f.jpg,accuracy,1,1,1
15001,AnnMiller,15,f.jpg,15001_AnnMiller_15_f.jpg,accuracy,1,1,1
15003,AnnMiller,17,f.jpg,15003_AnnMiller_17_f.jpg,accuracy,1,1,1
15007,AnnMiller,21,f.jpg,15007_AnnMiller_21_f.jpg,accuracy,0,0,0
15022,AnnMiller,42,f.jpg,15022_AnnMiller_42_f.jpg,accuracy,1,1,1
15032,AnnMiller,60,f.jpg,15032_AnnMiller_60_f.jpg,accuracy,1,1,1
15260,DyanCannon,40,f.jpg,15260_DyanCannon_40_f.jpg,accuracy,1,1,1
15289,DyanCannon,32,f.jpg,15289_DyanCannon_32_f.jpg,accuracy,1,1,1
15276,DyanCannon,67,f.jpg,15276_DyanCannon_67_f.jpg,accuracy,1,1,1
15277,DyanCannon,68,f.jpg,15277_DyanCannon_68_f.jpg,accuracy,1,1,1
15279,DyanCannon,70,f.jpg,15279_DyanCannon_70_f.jpg,accuracy,1,1,1
15281,DyanCannon,72,f.jpg,15281_DyanCannon_72_f.jpg,accuracy,1,1,1
15283,DyanCannon,75,f.jpg,15283_DyanCannon_75_f.jpg,accuracy,1,1,1
15369,JanePowell,14,f.jpg,15369_JanePowell_14_f.jpg,accuracy,0,1,0
15388,JanePowell,38,f.jpg,15388_JanePowell_38_f.jpg,accuracy,1,1,1
15411,JanePowell,74,f.jpg,15411_JanePowell_74_f.jpg,accuracy,1,1,1
15414,JanePowell,77,f.jpg,15414_JanePowell_77_f.jpg,accuracy,1,1,1
15418,JanePowell,81,f.jpg,15418_JanePowell_81_f.jpg,accuracy,1,1,1
15468,JeanetteMacDonald,32,f.jpg,15468_JeanetteMacDonald_32_f.jpg,accuracy,0,1,0
15479,JeanetteMacDonald,39,f.jpg,15479_JeanetteMacDonald_39_f.jpg,accuracy,1,1,1
15484,JeanetteMacDonald,44,f.jpg,15484_JeanetteMacDonald_44_f.jpg,accuracy,0,1,0
15486,JeanetteMacDonald,46,f.jpg,15486_JeanetteMacDonald_46_f.jpg,accuracy,1,1,1
15502,JeanetteMacDonald,43,f.jpg,15502_JeanetteMacDonald_43_f.jpg,accuracy,1,1,1
15514,JeanetteMacDonald,59,f.jpg,15514_JeanetteMacDonald_59_f.jpg,accuracy,1,1,1
15576,KateOMara,20,f.jpg,15576_KateOMara_20_f.jpg,accuracy,1,1,1
15577,KateOMara,21,f.jpg,15577_KateOMara_21_f.jpg,accuracy,1,0,0
15585,KateOMara,29,f.jpg,15585_KateOMara_29_f.jpg,accuracy,1,1,1
15592,KateOMara,36,f.jpg,15592_KateOMara_36_f.jpg,accuracy,1,1,1
15599,KateOMara,43,f.jpg,15599_KateOMara_43_f.jpg,accuracy,1,1,1
15606,KateOMara,50,f.jpg,15606_KateOMara_50_f.jpg,accuracy,1,1,1
15608,KateOMara,52,f.jpg,15608_KateOMara_52_f.jpg,accuracy,1,1,1
15851,StBphaneAudran,22,f.jpg,15851_StBphaneAudran_22_f.jpg,accuracy,1,1,1
15869,StBphaneAudran,41,f.jpg,15869_StBphaneAudran_41_f.jpg,accuracy,1,1,1
15886,StBphaneAudran,62,f.jpg,15886_StBphaneAudran_62_f.jpg,accuracy,1,1,1
15888,StBphaneAudran,64,f.jpg,15888_StBphaneAudran_64_f.jpg,accuracy,1,1,1
15891,StBphaneAudran,69,f.jpg,15891_StBphaneAudran_69_f.jpg,accuracy,1,1,1
15892,StBphaneAudran,70,f.jpg,15892_StBphaneAudran_70_f.jpg,accuracy,1,1,1
1663,BobDylan,33,m.jpg,1663_BobDylan_33_m.jpg,accuracy,1,1,1
1686,BobDylan,72,m.jpg,1686_BobDylan_72_m.jpg,accuracy,1,1,1
1831,TomJones,23,m.jpg,1831_TomJones_23_m.jpg,accuracy,0,1,0
1837,TomJones,28,m.jpg,1837_TomJones_28_m.jpg,accuracy,1,1,1
9753,TomJones,24,f.jpg,9753_TomJones_24_f.jpg,accuracy,1,1,1
9764,TomJones,38,f.jpg,9764_TomJones_38_f.jpg,accuracy,1,1,1
1852,TomJones,59,m.jpg,1852_TomJones_59_m.jpg,accuracy,1,1,1
1857,TomJones,64,m.jpg,1857_TomJones_64_m.jpg,accuracy,1,1,1
1859,TomJones,66,m.jpg,1859_TomJones_66_m.jpg,accuracy,1,1,1
9782,TomJones,68,f.jpg,9782_TomJones_68_f.jpg,accuracy,1,1,1
9783,TomJones,69,f.jpg,9783_TomJones_69_f.jpg,accuracy,1,1,1
1908,EdwardFox,34,m.jpg,1908_EdwardFox_34_m.jpg,accuracy,1,1,1
1924,EdwardFox,53,m.jpg,1924_EdwardFox_53_m.jpg,accuracy,1,1,1
1930,EdwardFox,63,m.jpg,1930_EdwardFox_63_m.jpg,accuracy,1,1,1
1939,EdwardFox,76,m.jpg,1939_EdwardFox_76_m.jpg,accuracy,1,1,1
1981,JamesCaan,27,m.jpg,1981_JamesCaan_27_m.jpg,accuracy,0,1,0
1988,JamesCaan,32,m.jpg,1988_JamesCaan_32_m.jpg,accuracy,0,1,0
2008,JamesCaan,59,m.jpg,2008_JamesCaan_59_m.jpg,accuracy,1,1,1
2019,JamesCaan,73,m.jpg,2019_JamesCaan_73_m.jpg,accuracy,1,0,0
2055,JonVoight,36,m.jpg,2055_JonVoight_36_m.jpg,accuracy,1,1,1
2065,JonVoight,50,m.jpg,2065_JonVoight_50_m.jpg,accuracy,1,1,1
2073,JonVoight,60,m.jpg,2073_JonVoight_60_m.jpg,accuracy,1,1,1
2076,JonVoight,62,m.jpg,2076_JonVoight_62_m.jpg,accuracy,1,1,1
2077,JonVoight,64,m.jpg,2077_JonVoight_64_m.jpg,accuracy,1,1,1
2088,JonVoight,74,m.jpg,2088_JonVoight_74_m.jpg,accuracy,1,1,1
2097,MelBrooks,40,m.jpg,2097_MelBrooks_40_m.jpg,accuracy,0,0,0
2105,MelBrooks,52,m.jpg,2105_MelBrooks_52_m.jpg,accuracy,1,1,1
2121,MelBrooks,77,m.jpg,2121_MelBrooks_77_m.jpg,accuracy,1,1,1
2124,MelBrooks,80,m.jpg,2124_MelBrooks_80_m.jpg,accuracy,1,1,1
2709,KevinBacon,27,m.jpg,2709_KevinBacon_27_m.jpg,accuracy,1,1,1
2720,KevinBacon,37,m.jpg,2720_KevinBacon_37_m.jpg,accuracy,0,1,0
2732,KevinBacon,48,m.jpg,2732_KevinBacon_48_m.jpg,accuracy,1,1,1
2737,KevinBacon,52,m.jpg,2737_KevinBacon_52_m.jpg,accuracy,1,1,1
3556,MichaelYork,13,m.jpg,3556_MichaelYork_13_m.jpg,accuracy,0,0,0
3579,MichaelYork,50,m.jpg,3579_MichaelYork_50_m.jpg,accuracy,1,1,1
3581,MichaelYork,52,m.jpg,3581_MichaelYork_52_m.jpg,accuracy,1,1,1
3589,MichaelYork,61,m.jpg,3589_MichaelYork_61_m.jpg,accuracy,1,1,1
3591,MichaelYork,63,m.jpg,3591_MichaelYork_63_m.jpg,accuracy,1,1,1
3593,MichaelYork,65,m.jpg,3593_MichaelYork_65_m.jpg,accuracy,1,1,1
3596,MichaelYork,70,m.jpg,3596_MichaelYork_70_m.jpg,accuracy,0,1,0
4131,GenaRowlands,35,m.jpg,4131_GenaRowlands_35_m.jpg,accuracy,0,1,0
4138,GenaRowlands,48,m.jpg,4138_GenaRowlands_48_m.jpg,accuracy,1,1,1
4159,GenaRowlands,77,m.jpg,4159_GenaRowlands_77_m.jpg,accuracy,1,1,1
4736,MichelPiccoli,34,m.jpg,4736_MichelPiccoli_34_m.jpg,accuracy,1,0,0
4757,MichelPiccoli,51,m.jpg,4757_MichelPiccoli_51_m.jpg,accuracy,1,1,1
4885,RomanPolanski,33,m.jpg,4885_RomanPolanski_33_m.jpg,accuracy,1,1,1
4918,RomanPolanski,73,m.jpg,4918_RomanPolanski_73_m.jpg,accuracy,0,0,0
4921,RomanPolanski,76,m.jpg,4921_RomanPolanski_76_m.jpg,accuracy,1,1,1
4993,WarrenBeatty,23,m.jpg,4993_WarrenBeatty_23_m.jpg,accuracy,1,1,1
5028,WarrenBeatty,42,m.jpg,5028_WarrenBeatty_42_m.jpg,accuracy,0,0,0
5009,WarrenBeatty,57,m.jpg,5009_WarrenBeatty_57_m.jpg,accuracy,1,0,0
5023,WarrenBeatty,75,m.jpg,5023_WarrenBeatty_75_m.jpg,accuracy,1,1,1
5067,AnthonyHopkins,32,m.jpg,5067_AnthonyHopkins_32_m.jpg,accuracy,1,1,1
5079,AnthonyHopkins,54,m.jpg,5079_AnthonyHopkins_54_m.jpg,accuracy,1,0,0
5096,AnthonyHopkins,72,m.jpg,5096_AnthonyHopkins_72_m.jpg,accuracy,1,0,0
5109,AnthonyHopkins,76,m.jpg,5109_AnthonyHopkins_76_m.jpg,accuracy,1,1,1
5594,PeterFalk,39,m.jpg,5594_PeterFalk_39_m.jpg,accuracy,1,1,1
5601,PeterFalk,47,m.jpg,5601_PeterFalk_47_m.jpg,accuracy,1,1,1
5617,PeterFalk,68,m.jpg,5617_PeterFalk_68_m.jpg,accuracy,1,1,1
5621,PeterFalk,74,m.jpg,5621_PeterFalk_74_m.jpg,accuracy,1,1,1
5630,PeterFalk,83,m.jpg,5630_PeterFalk_83_m.jpg,accuracy,1,1,1
5770,BenGazzara,32,m.jpg,5770_BenGazzara_32_m.jpg,accuracy,1,1,1
5792,BenGazzara,73,m.jpg,5792_BenGazzara_73_m.jpg,accuracy,1,1,1
5849,HerbertLom,40,m.jpg,5849_HerbertLom_40_m.jpg,accuracy,1,1,1
5864,HerbertLom,61,m.jpg,5864_HerbertLom_61_m.jpg,accuracy,1,1,1
5876,HerbertLom,81,m.jpg,5876_HerbertLom_81_m.jpg,accuracy,1,1,1
5881,HerbertLom,93,m.jpg,5881_HerbertLom_93_m.jpg,accuracy,1,1,1
6230,DirkBogarde,29,m.jpg,6230_DirkBogarde_29_m.jpg,accuracy,1,1,1
6231,DirkBogarde,31,m.jpg,6231_DirkBogarde_31_m.jpg,accuracy,1,1,1
6245,DirkBogarde,42,m.jpg,6245_DirkBogarde_42_m.jpg,accuracy,1,1,1
6246,DirkBogarde,43,m.jpg,6246_DirkBogarde_43_m.jpg,accuracy,1,1,1
6255,DirkBogarde,56,m.jpg,6255_DirkBogarde_56_m.jpg,accuracy,1,1,1
6262,DirkBogarde,67,m.jpg,6262_DirkBogarde_67_m.jpg,accuracy,1,1,1
6472,JohnnyCash,10,m.jpg,6472_JohnnyCash_10_m.jpg,accuracy,0,0,0
6485,JohnnyCash,40,m.jpg,6485_JohnnyCash_40_m.jpg,accuracy,1,1,1
6494,JohnnyCash,29,m.jpg,6494_JohnnyCash_29_m.jpg,accuracy,1,1,1
6497,JohnnyCash,35,m.jpg,6497_JohnnyCash_35_m.jpg,accuracy,1,1,1
6493,JohnnyCash,69,m.jpg,6493_JohnnyCash_69_m.jpg,accuracy,1,1,1
6676,PeterGraves,34,m.jpg,6676_PeterGraves_34_m.jpg,accuracy,1,1,1
6681,PeterGraves,41,m.jpg,6681_PeterGraves_41_m.jpg,accuracy,1,1,1
6682,PeterGraves,43,m.jpg,6682_PeterGraves_43_m.jpg,accuracy,0,0,0
6700,PeterGraves,46,m.jpg,6700_PeterGraves_46_m.jpg,accuracy,1,1,1
6698,PeterGraves,82,m.jpg,6698_PeterGraves_82_m.jpg,accuracy,1,1,1
6703,PeterGraves,54,m.jpg,6703_PeterGraves_54_m.jpg,accuracy,1,1,1
6792,RoyScheider,39,m.jpg,6792_RoyScheider_39_m.jpg,accuracy,1,1,1
6806,RoyScheider,56,m.jpg,6806_RoyScheider_56_m.jpg,accuracy,1,1,1
6811,RoyScheider,65,m.jpg,6811_RoyScheider_65_m.jpg,accuracy,1,0,0
6992,ChristopherWalken,29,m.jpg,6992_ChristopherWalken_29_m.jpg,accuracy,1,1,1
7012,ChristopherWalken,50,m.jpg,7012_ChristopherWalken_50_m.jpg,accuracy,0,0,0
7016,ChristopherWalken,56,m.jpg,7016_ChristopherWalken_56_m.jpg,accuracy,1,1,1
7098,GladysCooper,15,m.jpg,7098_GladysCooper_15_m.jpg,accuracy,1,1,1
7121,GladysCooper,74,m.jpg,7121_GladysCooper_74_m.jpg,accuracy,1,1,1
7401,MickeyRooney,8,m.jpg,7401_MickeyRooney_8_m.jpg,accuracy,0,1,0
7402,MickeyRooney,10,m.jpg,7402_MickeyRooney_10_m.jpg,accuracy,1,0,0
7410,MickeyRooney,23,m.jpg,7410_MickeyRooney_23_m.jpg,accuracy,1,1,1
7416,MickeyRooney,33,m.jpg,7416_MickeyRooney_33_m.jpg,accuracy,1,1,1
7431,MickeyRooney,63,m.jpg,7431_MickeyRooney_63_m.jpg,accuracy,1,1,1
7436,MickeyRooney,77,m.jpg,7436_MickeyRooney_77_m.jpg,accuracy,1,1,1
7437,MickeyRooney,78,m.jpg,7437_MickeyRooney_78_m.jpg,accuracy,1,0,0
7764,AlbertoSordi,45,m.jpg,7764_AlbertoSordi_45_m.jpg,accuracy,1,1,1
7766,AlbertoSordi,50,m.jpg,7766_AlbertoSordi_50_m.jpg,accuracy,1,1,1
7779,AlbertoSordi,76,m.jpg,7779_AlbertoSordi_76_m.jpg,accuracy,1,1,1
8305,RichardCrenna,18,m.jpg,8305_RichardCrenna_18_m.jpg,accuracy,1,1,1
8308,RichardCrenna,28,m.jpg,8308_RichardCrenna_28_m.jpg,accuracy,0,0,0
8338,RichardCrenna,64,m.jpg,8338_RichardCrenna_64_m.jpg,accuracy,1,1,1
8825,ArnoldSchwarzenegger,32,m.jpg,8825_ArnoldSchwarzenegger_32_m.jpg,accuracy,1,1,1
8833,ArnoldSchwarzenegger,41,m.jpg,8833_ArnoldSchwarzenegger_41_m.jpg,accuracy,1,1,1
8843,ArnoldSchwarzenegger,54,m.jpg,8843_ArnoldSchwarzenegger_54_m.jpg,accuracy,1,0,0
8852,ArnoldSchwarzenegger,61,m.jpg,8852_ArnoldSchwarzenegger_61_m.jpg,accuracy,1,1,1
8948,FredMacMurray,28,m.jpg,8948_FredMacMurray_28_m.jpg,accuracy,1,1,1
8950,FredMacMurray,31,m.jpg,8950_FredMacMurray_31_m.jpg,accuracy,1,1,1
8964,FredMacMurray,51,m.jpg,8964_FredMacMurray_51_m.jpg,accuracy,1,1,1
8978,FredMacMurray,74,m.jpg,8978_FredMacMurray_74_m.jpg,accuracy,1,1,1
9043,JeanClaudeVanDamme,28,m.jpg,9043_JeanClaudeVanDamme_28_m.jpg,accuracy,1,1,1
9062,JeanClaudeVanDamme,44,m.jpg,9062_JeanClaudeVanDamme_44_m.jpg,accuracy,1,1,1
9072,JeanClaudeVanDamme,43,m.jpg,9072_JeanClaudeVanDamme_43_m.jpg,accuracy,1,1,1
9066,JeanClaudeVanDamme,51,m.jpg,9066_JeanClaudeVanDamme_51_m.jpg,accuracy,1,1,1
9068,JeanClaudeVanDamme,52,m.jpg,9068_JeanClaudeVanDamme_52_m.jpg,accuracy,1,1,1
9079,JeanClaudeVanDamme,53,m.jpg,9079_JeanClaudeVanDamme_53_m.jpg,accuracy,1,1,1
9570,MarcelloMastroianni,28,m.jpg,9570_MarcelloMastroianni_28_m.jpg,accuracy,1,0,0
9574,MarcelloMastroianni,32,m.jpg,9574_MarcelloMastroianni_32_m.jpg,accuracy,1,1,1
9602,MarcelloMastroianni,65,m.jpg,9602_MarcelloMastroianni_65_m.jpg,accuracy,1,1,1
9608,MarcelloMastroianni,71,m.jpg,9608_MarcelloMastroianni_71_m.jpg,accuracy,1,1,1
9701,DorisDay,48,f.jpg,9701_DorisDay_48_f.jpg,accuracy,1,1,1
9707,DorisDay,38,f.jpg,9707_DorisDay_38_f.jpg,accuracy,1,1,1
